Question ID,Question,Forecast_Date,ForecastDate_Probability,Resolution,Closing_Date,Tournament
40216,Will the upper bound of the federal funds rate be 4.00% or higher at the December 2025 FOMC meeting?,10/10/25,33%,No,12/9/25,RAND x Metaculus 2026
40205,"Will Ohio State football team be ranked first in the AP Poll on November 1, 2025?",10/5/25,53%,Yes,11/1/25,RAND x Metaculus 2026
40185,"Will former South Korean President Yoon Suk Yeol be convicted of any criminal charges before January 16, 2026?",10/12/25,25%,No,1/16/26,RAND x Metaculus 2026
40217,Will the EU import at least 19 billion cubic meters of natural gas from Russia in the second half of 2025?,10/10/25,18%,No,1/1/25,RAND x Metaculus 2026
40195,"Will South Korea sign arms export deals worth >$5bn with any country between October 1 and December 15, 2025?",10/10/25,35%,No,12/15/25,RAND x Metaculus 2026
40191,Will the Democratic party win the Virginia gubernatorial election of 2025?,10/6/25,96%,Yes,11/4/25,RAND x Metaculus 2026
40215,Will the upper bound of the federal funds rate be 4.00% or lower at the October 2025 FOMC meeting?,10/6/25,90%,Yes,11/28/25,RAND x Metaculus 2026
40181,Will Russia’s annual GDP growth rate exceed 1.5% in Q3 2025?,10/8/25,15%,No,11/14/25,RAND x Metaculus 2026
40182,"Will France announce a nuclear deterrent extension agreement with a European country before December 16, 2025?",10/15/25,14%,No,12/16/25,RAND x Metaculus 2026
40208,"On December 1, 2025, will Nvidia be the world's most valuable company by market cap?",10/8/25,80%,Yes,12/1/25,RAND x Metaculus 2026
40183,"Will North Korea conduct a nuclear test before December 16, 2025?",10/10/25,5%,No,12/16/25,RAND x Metaculus 2026
40201,Will Philadelphia Union win the 2025 MLS championship for US soccer?,10/11/25,14%,No,12/5/25,RAND x Metaculus 2026
40186,Will the EU have an average annual inflation rate of at least 2.5% for any month before December 2025?,10/6/25,55%,Yes,12/1/25,RAND x Metaculus 2026
40207,"Will Secret of Secrets be the top of the New York Times Hardcover Fiction list for the week of November 2, 2025?",10/5/25,14%,No,10/22/25,RAND x Metaculus 2026
40194,"Will the Cambodia-Thailand conflict result in ⩾20 deaths between October 1 and December 15, 2025?",10/9/25,20%,Yes,12/15/25,RAND x Metaculus 2026
40189,Will there be a successful coup d’état in Africa before December 2025?,10/4/25,13%,Yes,12/1/25,RAND x Metaculus 2026
20783,Will Ali Khamenei cease to be supreme leader of Iran in 2024?,1/21/24,15%,No,1/1/25,ACX 2024
20748,Will the FDA or EMA withdraw approval of semaglutide for the treatment of obesity or diabetes in 2024?,1/21/24,8%,No,1/1/25,ACX 2024
20722,Will Ilya Sutskever still lead OpenAI’s Superalignment team at the end of 2024?,1/21/24,54%,No,1/1/25,ACX 2024
20758,Will OpenAI publish information describing Q* (Q-Star) in 2024?,1/21/24,35%,No,1/1/25,ACX 2024
20753,Will Benjamin Netanyahu remain Prime Minister of Israel throughout 2024?,1/21/24,50%,Yes,1/1/25,ACX 2024
20781,Will X declare bankruptcy in 2024?,1/21/24,10%,No,1/1/25,ACX 2024
20752,Will there be a bilateral cease-fire or peace agreement in the Russo-Ukraine conflict in 2024?,1/21/24,20%,No,1/1/25,ACX 2024
20763,Will the New Glenn launch vehicle reach an altitude of 100 kilometers in 2024?,1/21/24,45%,No,1/1/25,ACX 2024
20775,Will SpaceX's Starship reach orbit in 2024?,1/21/24,71%,No,1/1/25,ACX 2024
20685,Will the US unemployment rate be above 4% in November 2024?,1/21/24,45%,Yes,1/1/25,ACX 2024
20790,Will there be a serious radiation incident at any nuclear plant in Ukraine before 2025?,1/21/24,8%,No,1/1/25,ACX 2024
20757,Will the 2024 light duty electric vehicle sales share exceed 11% in the US through November 2024?,1/21/24,68%,No,1/1/25,ACX 2024
20759,Will an AI win a coding contest on Codeforces in 2024?,1/21/24,20%,No,1/1/25,ACX 2024
20764,Will there be 10 or more armed forces conflict deaths between China and Taiwan in 2024?,1/21/24,7%,No,1/1/25,ACX 2024
20768,Will a nuclear weapon detonation kill at least 10 people in 2024?,1/21/24,2%,No,1/1/25,ACX 2024
20761,Will Ukraine control central Bakhmut at the end of 2024?,1/21/24,25%,No,1/1/25,ACX 2024
20720,Will annual US core CPI inflation be above 3% in December 2024?,1/21/24,43%,Yes,1/1/25,ACX 2024
20766,Will there be 10 or more armed forces conflict deaths between India and Pakistan in 2024?,1/21/24,20%,No,1/1/25,ACX 2024
20751,In 2024 will there be any change in the composition of the US Supreme Court?,1/21/24,15%,No,1/1/25,ACX 2024
20774,"Will there be a US government shutdown before January 1, 2025?",1/21/24,25%,No,1/1/25,ACX 2024
20785,Will SpaceX attempt to catch a Starship booster with the tower in 2024?,1/21/24,32%,Yes,1/1/25,ACX 2024
20770,Will there be 100 or more military conflict deaths between Ethiopia and Eritrea in 2024?,1/21/24,12%,No,1/1/25,ACX 2024
20772,Will the Democratic party win the 2024 US presidential election,1/21/24,50%,No,1/1/25,ACX 2024
20771,Will Mike Johnson remain Speaker for all of 2024?,1/21/24,70%,Yes,1/1/25,ACX 2024
20776,Will cannabis be removed from Schedule I of the Controlled Substance Act before 2025?,1/21/24,35%,No,1/1/25,ACX 2024
20789,"Will the Fed Funds Rate on December 31, 2024 be below 4%?",1/21/24,43%,No,1/1/25,ACX 2024
20694,Will the S&P 500 index go up over 2024?,1/21/24,75%,Yes,1/1/25,ACX 2024
20747,Will Bitcoin go up over 2024?,1/21/24,65%,Yes,1/1/25,ACX 2024
20762,Will the Shanghai (SSE) Composite Index go up over 2024?,1/21/24,53%,Yes,1/1/25,ACX 2024
20749,Will there be faithless electors in the 2024 US Presidential election?,1/21/24,40%,No,1/1/25,ACX 2024
20784,"Will US refugee admissions exceed 100,000 in fiscal year 2024?",1/21/24,36%,Yes,1/1/25,ACX 2024
20754,Will the WHO declare a global health emergency (PHEIC) in 2024?,1/21/24,26%,Yes,1/1/25,ACX 2024
20779,Will a debate be held between Joe Biden and Donald Trump before the 2024 US presidential election?,1/21/24,69%,Yes,1/1/25,ACX 2024
20692,Will Claudia Sheinbaum win the 2024 Mexican Presidential Election?,1/21/24,80%,Yes,1/1/25,ACX 2024
20786,Will Donald Trump be convicted of a felony before the 2024 presidential election?,1/21/24,36%,Yes,1/1/25,ACX 2024
20780,Will Donald Trump be convicted of a felony before the 2024 presidential election?,1/21/24,62%,Yes,1/1/25,ACX 2024
31296,Will at least twice as many deportations by U.S. ICE occur in Fiscal Year 2025 compared with Fiscal Year 2024?,2/1/25,48%,No,1/1/26,ACX 2025
31273,"Will a new war or a substantial escalation to a previous war kill at least 5,000 people in 2025?",2/1/25,62%,No,1/1/26,ACX 2025
31348,Will the US government release additional Epstein documents in 2025?,2/1/25,32%,Yes,1/1/26,ACX 2025
31298,"Will there be at least 1,000 deaths due to direct conflict between Israel and Iran in 2025?",2/1/25,15%,Yes,1/1/26,ACX 2025
31315,Will the 12-month percentage change in the US Consumer Price Index be lower in November 2025 than it was in November 2024?,2/1/25,51%,Yes,1/1/26,ACX 2025
31098,"Will Donald Trump have a positive net favorability rate on December 20, 2025, according to 538?",2/1/25,20%,No,1/1/26,ACX 2025
31326,"Will OpenAI top the Chatbot Arena Leaderboard on December 31, 2025?",2/1/25,38%,No,1/1/26,ACX 2025
31276,Will the poverty rate in Argentina be lower in the first half of 2025 compared to the second half of 2023?,2/1/25,65%,Yes,1/1/26,ACX 2025
31257,Will semaglutide be taken off FDA's drug shortage list in 2025?,2/1/25,50%,Yes,1/1/26,ACX 2025
31271,Will real housing prices in the US increase more in 2025 compared to 2024?,2/1/25,55%,No,1/1/26,ACX 2025
31118,Will Benjamin Netanyahu remain Prime Minister of Israel throughout 2025?,2/1/25,70%,Yes,1/1/26,ACX 2025
31045,Will Jerome Powell cease to hold the office of Chair of the Federal Reserve before 2026?,2/1/25,20%,No,1/1/26,ACX 2025
31117,Will Argentina's year-over-year inflation be below 30% for December 2025?,2/1/25,58%,No,1/1/26,ACX 2025
30891,Will Elon Musk cease to be an advisor to Donald Trump and face public criticism from Donald Trump before 2026?,2/1/25,44%,Yes,1/1/26,ACX 2025
31324,Will mifepristone become significantly restricted or illegal to prescribe for abortions across the US before 2026?,2/1/25,20%,No,1/1/26,ACX 2025
31336,"Will the Democrats be favored to win the 2028 US presidential election in the last week of 2025, according to Kalshi?",2/1/25,55%,Yes,1/1/26,ACX 2025
31130,Will major components of the Affordable Care Act be repealed or curtailed before 2026?,2/1/25,25%,No,1/1/26,ACX 2025
31620,Will Israel establish direct governmental control of the Gaza Strip in 2025?,2/1/25,9%,No,1/1/26,ACX 2025
31256,"Will any rationalist, effective altruist, or AI safety researcher go on the Joe Rogan Experience before 2026?",2/1/25,70%,Yes,1/1/26,ACX 2025
31357,"Will there be a leadership change in any of United States' foreign adversaries in 2025 (Jinping, Diaz-Canel, Khamenei, Un, Putin, Maduro)?",2/1/25,33%,No,1/1/26,ACX 2025
30863,"Will Elon Musk be the world's richest person on December 31, 2025?",2/1/25,80%,Yes,1/1/26,ACX 2025
31255,"On December 31, 2025, will Google, Meta, Amazon, Tesla, or X accept crypto as a payment?",2/1/25,60%,No,1/1/26,ACX 2025
31076,Will the US eliminate the Department of Education through law or presidential reorganization before 2026?,2/1/25,10%,No,1/1/26,ACX 2025
31123,Will Iran possess a nuclear weapon before 2026?,2/1/25,12%,No,1/1/26,ACX 2025
31303,Will inflation-adjusted gas prices rise in the US in 2025?,2/1/25,40%,No,1/1/26,ACX 2025
31252,Will US federal interest rates at the end of 2025 be lower than at the end of 2024?,2/1/25,77%,Yes,1/1/26,ACX 2025
31121,Will there be a bilateral ceasefire in the Russo-Ukraine conflict before 2026?,2/1/25,45%,No,1/1/26,ACX 2025
31258,Will Google's search market share drop below 85% in 2025?,2/1/25,19%,No,1/1/26,ACX 2025
31341,Will an application to ban AfD be filed at the Federal Constitutional Court before 2026?,2/1/25,19%,No,1/1/26,ACX 2025
31253,Will the US unemployment rate in November 2025 be below the rate in November 2024?,2/1/25,40%,No,1/1/26,ACX 2025
31307,Will Nvidia outperform the S&P 500 in 2025?,2/1/25,70%,Yes,1/1/26,ACX 2025
31044,Will the US Congress pass a bill implementing Trump's tariff policies in 2025?,2/1/25,11%,No,1/1/26,ACX 2025
22949,"Will there be a named Atlantic storm or hurricane before May 20, 2024?",5/2/24,25%,No,5/20/24,Bridgewater 2024
22465,"Will President Biden make an international trip between April 24 and May 20, 2024?",4/26/24,15%,No,5/20/24,Bridgewater 2024
22725,"As of May 21, 2024, will OpenAI report at least 99.9% uptime for ChatGPT for May 2024?",4/30/24,35%,No,5/21/24,Bridgewater 2024
22390,"Will Donald Trump file a new writ petition or application for stay with the US Supreme Court between April 16 and May 19, 2024?",4/21/24,40%,No,5/19/24,Bridgewater 2024
22391,"Will the United Nations Security Council pass a resolution related to the Gaza War between April 23 and May 20, 2024?",4/21/24,30%,No,5/20/24,Bridgewater 2024
22787,"Will the San Francisco Bay Area experience an earthquake of at least 3.0 magnitude during the seven-day period ending midday on May 14th, 2024?",5/7/24,13%,No,5/14/24,Bridgewater 2024
22301,"Will a version of Claude be the top model on chat.lmsys.org leaderboard on May 16, 2024?",4/21/24,12%,No,5/16/24,Bridgewater 2024
22385,"Will SpaceX's fourth Starship integrated flight test reach an altitude of at least 200 kilometers before May 20, 2024?",4/19/24,65%,No,5/20/24,Bridgewater 2024
22459,"Will there be more Antarctic sea ice on May 20, 2024 than the 2011-2020 average?",4/27/24,1%,No,5/20/24,Bridgewater 2024
22470,"Will Joe Biden have a polling lead over Donald Trump on May 20, 2024?",4/28/24,35%,No,5/20/24,Bridgewater 2024
22308,"Will Israel and Hamas reach a ceasefire deal before May 16, 2024?",4/20/24,3%,No,5/16/24,Bridgewater 2024
22914,"Before May 20, 2024, will it be announced that Minouche Shafik will no longer be President of Columbia University?",5/1/24,5%,No,5/20/24,Bridgewater 2024
22726,"On May 18th, will Kyle, Texas set the world record for largest gathering of individuals with the same first name?",5/3/24,10%,No,5/18/24,Bridgewater 2024
22526,"Will Mike Johnson be Speaker of the House on May 20, 2024?",4/24/24,90%,Yes,5/20/24,Bridgewater 2024
22382,"Will Joe Biden issue his 11th veto before May 17, 2024?",4/19/24,45%,Yes,5/17/24,Bridgewater 2024
22383,Will the Kingdom of the Planet of the Apes domestic opening box office set a new franchise record?,4/18/24,8%,No,5/10/24,Bridgewater 2024
34456,"Will the debt ceiling be raised or suspended in the US before March 17, 2025?",2/8/25,20%,No,3/17/25,Bridgewater 2025
34454,"Will OpenAI publicly release the full o3 model before March 28, 2025?",2/8/25,70%,No,3/28/25,Bridgewater 2025
41037,"Will the United States gain less than 100,000 new nonfarm jobs between December 2025 and February 2026?",1/22/26,70%,Yes,3/1/26,Bridgewater 2026
41336,"Will OpenAI API token prices fall before March 14, 2026?",1/17/26,30%,No,3/14/26,Bridgewater 2026
41358,Will the German 10-Year Bond Yield move by 20bps or more during February 2026?,1/31/26,57%,No,3/1/26,Bridgewater 2026
40726,Will Nvidia's stock price reach a new record close in February 2026?,1/31/26,38%,No,3/1/26,Bridgewater 2026
40927,Will André Ventura win Portugal's 2026 presidential election?,1/22/26,10%,No,2/9/26,Bridgewater 2026
41356,"Will any US electric utility announce a $5 billion capex increase, citing data center demand, between January 13 and March 12, 2026?",1/13/26,65%,Yes,3/12/26,Bridgewater 2026
41501,Will Japan receive more foreign visitors from China than from any other country during January 2026?,1/22/26,15%,No,2/1/26,Bridgewater 2026
41361,"In February 2026, will the weekly amount of finished motor gasoline supplied in the U.S. be highest in the final week of the month?",1/31/26,28%,No,3/1/26,Bridgewater 2026
41343,"Will any NVIDIA GPUs better than the H200 be allowed to be exported to China before March 14, 2026?",1/31/26,10%,No,3/14/25,Bridgewater 2026
41699,Will U.S. consumer sentiment in March 2026 be higher than in February 2026?,2/4/26,55%,No,3/1/25,Bridgewater 2026